VALUE,CLASSNAME,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,r,g,b,Red,Green,Blue
3485,East Gulf Coastal Plain Savanna and Wet Prairie,2485,Tr East Gulf Coastal Plain Savanna and Wet Prairie,Herb,675,Riparian,Inland Marshes and Prairies,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1,0.6,0
3489,Floridian Highlands Freshwater Marsh Herbaceous,2489,Tr Floridian Highlands Freshwater Marsh,Herb,675,Riparian,Inland Marshes and Prairies,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1,0.6,0
3577,East Gulf Coastal Plain Wet Prairie Grassland,2485,Tr East Gulf Coastal Plain Savanna and Wet Prairie,Herb,675,Riparian,Inland Marshes and Prairies,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1,0.6,0
3578,East Gulf Coastal Plain Wet Prairie Shrubland,2485,Tr East Gulf Coastal Plain Savanna and Wet Prairie,Shrub,675,Riparian,Inland Marshes and Prairies,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1,0.6,0
3579,Floridian Highlands Freshwater Marsh Shrubland,2489,Tr Floridian Highlands Freshwater Marsh,Shrub,675,Riparian,Inland Marshes and Prairies,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1,0.6,0
3580,Floridian Highlands Freshwater Marsh Woodland,2489,Tr Floridian Highlands Freshwater Marsh,Tree,675,Riparian,Inland Marshes and Prairies,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1,0.6,0
3608,Alaska Sub-boreal Avalanche Slope Shrubland,2608,Sh Alaska Sub-boreal Avalanche Slope Shrubland,Shrub,752,Shrubland,Avalanche Slope Shrubland,SRM 901: Alder,Shrub-dominated,Shrubland,Deciduous shrubland,146,237,224,0.572549,0.929412,0.878431
3609,Alaska Sub-boreal Mesic Subalpine Alder Shrubland,2609,Sh Alaska Sub-boreal Mesic Subalpine Alder Shrubland,Shrub,750,Shrubland,Alder Shrubland,SRM 901: Alder,Shrub-dominated,Shrubland,Deciduous shrubland,146,237,224,0.572549,0.929412,0.878431
3638,Alaska Arctic Mesic Alder Shrubland,2638,Sh Alaska Arctic Mesic Alder Shrubland,Shrub,750,Shrubland,Alder Shrubland,SRM 901: Alder,Shrub-dominated,Shrubland,Deciduous shrubland,146,237,224,0.572549,0.929412,0.878431
3652,Alaskan Pacific Maritime Subalpine Alder-Salmonberry Shrubland,2652,Sh Alaskan Pacific Maritime Subalpine Alder-Salmonberry Shrubland,Shrub,750,Shrubland,Alder Shrubland,SRM 901: Alder,Shrub-dominated,Shrubland,Deciduous shrubland,146,237,224,0.572549,0.929412,0.878431
3672,Alaskan Pacific Maritime Subalpine Copperbush Shrubland,2672,Sh Alaskan Pacific Maritime Subalpine Copperbush Shrubland,Shrub,750,Shrubland,Alder Shrubland,SRM 901: Alder,Shrub-dominated,Shrubland,Deciduous shrubland,146,237,224,0.572549,0.929412,0.878431
3680,Alaskan Pacific Maritime Avalanche Slope Shrubland,2680,Sh Alaskan Pacific Maritime Avalanche Slope Shrubland,Shrub,752,Shrubland,Avalanche Slope Shrubland,SRM 901: Alder,Shrub-dominated,Shrubland,Deciduous shrubland,146,237,224,0.572549,0.929412,0.878431
3718,Aleutian Mesic Alder-Salmonberry Shrubland,2718,Sh Aleutian Mesic Alder-Salmonberry Shrubland,Shrub,750,Shrubland,Alder Shrubland,SRM 901: Alder,Shrub-dominated,Shrubland,Deciduous shrubland,146,237,224,0.572549,0.929412,0.878431
3633,Western North American Boreal Alpine Mesic Herbaceous Meadow,2633,He Western North American Boreal Alpine Mesic Herbaceous Meadow,Herb,767,Grassland,Herbaceous Meadow,SRM 902: Alpine Herb,Herbaceous / Nonvascular-dominated,Herbaceous - forbland,Perennial forb,255,211,119,1,0.827451,0.466667
